iter	Passed	Remaining
245	367	1126
246	369	1126
247	371	1127
248	373	1126
249	375	1127
250	378	1128
251	380	1128
252	382	1128
253	384	1129
254	385	1126
255	387	1125
256	388	1122
257	389	1120
258	391	1118
259	393	1119
260	395	1120
261	397	1120
262	399	1119
263	400	1117
264	402	1117
265	404	1117
266	407	1117
267	409	1118
268	411	1119
269	413	1119
270	415	1118
271	418	1119
272	419	1118
273	421	1117
274	422	1114
275	424	1113
276	425	1110
277	426	1108
278	428	1106
279	429	1103
280	430	1101
281	431	1099
282	433	1098
283	434	1095
284	436	1093
285	437	1092
286	438	1089
287	439	1086
288	440	1083
289	441	1080
290	442	1077
291	442	1074
292	443	1071
293	444	1067
294	446	1067
295	448	1066
296	450	1065
297	451	1063
298	453	1062
299	453	1059
300	455	1058
301	457	1056
302	458	1055
303	460	1053
304	462	1052
305	464	1052
306	465	1050
307	466	1048
308	468	1047
309	469	1045
310	470	1043
311	472	1041
312	473	1039
313	475	1038
314	476	1036
315	478	1035
316	480	1035
317	482	1033
318	483	1032
319	484	1030
320	486	1029
321	487	1026
322	488	1024
323	490	1022
324	491	1021
325	493	1019
326	494	1017
327	495	1016
328	497	1013
329	498	1011
330	499	1010
331	501	1008
332	502	1006
333	504	1005
334	505	1004
335	507	1002
336	509	1002
337	511	1000
338	512	998
339	513	996
340	515	996
341	517	994
342	518	993
343	520	992
344	522	991
345	523	989
346	524	987
347	526	985
348	527	984
349	529	982
350	530	980
351	531	978
352	532	976
353	534	975
354	536	974
355	537	971
356	538	969
357	539	967
358	540	965
359	542	964
360	544	963
361	545	960
362	546	958
363	547	956
364	548	953
365	549	951
366	550	948
367	550	945
368	552	944
369	553	942
370	555	941
371	556	939
372	557	937
373	558	934
374	559	932
375	560	930
376	562	929
377	563	927
378	565	926
379	566	924
380	567	922
381	569	920
382	569	918
383	571	916
384	572	914
385	574	913
386	575	911
387	576	909
388	577	907
389	578	905
390	580	904
391	581	902
392	583	900
393	584	899
394	585	896
395	586	894
396	587	892
397	587	889
398	589	887
399	590	885
400	590	882
401	591	880
402	592	877
403	593	875
404	594	873
405	594	870
406	595	867
407	596	865
408	597	863
409	598	860
410	599	858
411	599	855
412	600	853
413	601	851
414	601	848
415	602	846
416	603	843
417	604	842
418	605	840
419	606	837
420	607	834
421	607	832
422	608	830
423	609	828
424	610	826
425	611	823
426	611	820
427	612	818
428	613	816
429	614	814
430	615	812
431	616	810
432	617	808
433	618	806
434	619	804
435	619	801
436	620	799
437	621	797
438	622	795
439	623	793
440	624	791
441	624	788
442	625	786
443	626	784
444	627	782
445	628	780
446	628	777
447	629	775
448	630	773
449	631	771
450	632	769
451	633	767
452	634	765
453	634	763
454	635	761
455	636	759
456	637	757
457	638	755
458	639	753
459	639	751
460	640	749
461	641	747
462	642	745
463	643	743
464	644	741
465	645	739
466	646	737
467	646	734
468	647	732
469	648	730
470	648	728
471	649	726
472	650	725
473	651	723
474	652	721
475	653	719
476	654	717
477	655	715
478	655	713
479	656	711
480	657	709
481	658	707
482	659	705
483	660	703
484	660	701
485	661	700
486	662	698
487	663	696
488	664	694
489	665	692
490	666	690
491	667	688
492	668	687
493	669	685
494	671	684
495	673	684
496	675	683
497	677	682
498	678	681
499	680	680
500	683	680
501	685	679
502	687	678
503	689	678
504	690	677
505	692	676
506	693	674
507	695	673
508	697	672
509	699	672
510	701	671
511	703	670
512	705	669
513	707	668
514	708	667
515	710	666
516	712	665
517	713	664
518	714	662
519	715	660
520	716	658
521	717	656
522	718	654
523	718	653
524	719	651
525	720	649
526	721	647
527	722	645
528	723	643
529	724	642
530	724	640
531	725	638
532	726	636
533	727	634
534	728	632
535	729	631
536	729	629
537	730	627
538	731	625
539	732	624
540	733	622
541	734	620
542	735	618
543	735	616
544	736	615
545	737	613
546	738	611
547	739	609
548	740	608
549	741	606
550	742	604
551	742	602
552	743	601
553	744	599
554	745	597
555	746	596
556	747	594
557	748	593
558	749	591
559	750	589
560	751	587
561	752	586
562	753	584
563	753	582
564	754	581
565	755	579
566	756	577
567	757	576
568	758	574
569	759	572
570	759	570
571	760	569
572	761	567
573	762	566
574	763	564
575	764	562
576	765	561
577	766	559
578	767	557
579	767	556
580	768	554
581	769	552
582	770	551
583	771	549
584	772	547
585	773	546
586	774	544
587	775	543
588	775	541
589	776	539
590	777	538
591	778	536
592	779	534
593	780	533
594	780	531
595	781	529
596	782	528
597	783	526
598	784	525
599	785	523
600	785	521
601	786	520
602	787	518
603	788	516
604	789	515
605	790	513
606	790	512
607	791	510
608	792	508
609	793	507
610	794	505
611	795	504
612	796	502
613	797	501
614	797	499
615	798	497
616	799	496
617	800	494
618	801	493
619	802	491
620	802	490
621	803	488
622	804	486
623	805	485
624	806	483
625	807	482
626	808	480
627	809	479
628	810	477
629	811	476
630	811	474
631	812	473
632	813	471
633	814	470
634	815	468
635	816	467
636	817	465
637	818	464
638	818	462
639	819	461
640	820	459
641	821	458
642	821	456
643	822	454
644	824	453
645	825	452
646	826	451
647	828	450
648	829	448
649	830	447
650	831	445
651	832	444
652	833	442
653	834	441
654	835	439
655	836	438
656	836	436
657	838	435
658	839	434
659	839	432
660	840	431
661	841	429
662	842	428
663	843	426
664	844	425
665	845	423
666	845	422
667	846	420
668	847	419
669	848	417
670	849	416
671	850	415
672	851	413
673	851	412
674	852	410
675	853	409
676	854	407
677	855	406
678	856	404
679	857	403
680	857	401
681	858	400
682	859	398
683	860	397
684	861	396
685	862	394
686	863	393
687	864	391
688	865	390
689	865	389
690	866	387
691	867	386
692	868	384
693	869	383
694	870	381
695	871	380
696	871	379
697	872	377
698	873	376
699	874	374
700	875	373
701	876	371
702	877	370
703	877	369
704	878	367
705	879	366
706	880	364
707	881	363
708	882	362
709	883	360
710	883	359
711	884	357
712	885	356
713	886	355
714	887	353
715	888	352
716	889	350
717	889	349
718	890	348
719	891	346
720	892	345
721	893	343
722	894	342
723	894	341
724	895	339
725	896	338
726	897	337
727	898	335
728	899	334
729	900	332
730	901	331
731	901	330
732	902	328
733	903	327
734	904	326
735	905	324
736	906	323
737	907	322
738	907	320
739	908	319
740	909	317
741	910	316
742	911	315
743	912	313
744	913	312
745	914	311
746	914	309
747	915	308
748	916	307
749	917	305
750	918	304
751	919	303
752	920	301
753	920	300
754	921	299
755	922	297
756	923	296
757	924	295
758	925	293
759	926	292
760	927	291
761	928	289
762	928	288
763	929	287
764	930	285
765	931	284
766	932	283
767	933	281
768	934	280
769	935	279
770	935	278
771	936	276
772	938	275
773	939	274
774	939	272
775	940	271
776	941	270
777	942	268
778	943	267
779	944	266
780	945	264
781	945	263
782	946	262
783	947	261
784	948	259
785	949	258
786	950	257
787	951	255
788	951	254
789	952	253
790	953	251
791	954	250
792	955	249
793	956	248
794	957	246
795	957	245
796	958	244
797	959	242
798	960	241
799	961	240
800	962	239
801	963	237
802	964	236
803	964	235
804	965	233
805	966	232
806	967	231
807	968	230
808	969	228
809	970	227
810	971	226
811	971	225
812	972	223
813	973	222
814	974	221
815	975	219
816	976	218
817	976	217
818	977	216
819	978	214
820	979	213
821	980	212
822	981	211
823	982	209
824	983	208
825	984	207
826	985	206
827	986	204
828	987	203
829	988	202
830	988	201
831	989	199
832	990	198
833	991	197
834	992	196
835	993	194
836	994	193
837	995	192
838	996	191
839	997	189
840	998	188
841	999	187
842	1000	186
843	1000	185
844	1001	183
845	1002	182
846	1003	181
847	1004	180
848	1005	178
849	1006	177
850	1006	176
851	1007	175
852	1008	173
853	1009	172
854	1010	171
855	1011	170
856	1011	168
857	1012	167
858	1013	166
859	1014	165
860	1016	164
861	1018	163
862	1019	161
863	1021	160
864	1025	160
865	1028	159
866	1029	157
867	1031	156
868	1033	155
869	1035	154
870	1036	153
871	1037	152
872	1038	151
873	1039	149
874	1040	148
875	1041	147
876	1042	146
877	1043	145
878	1044	143
879	1045	142
880	1046	141
881	1047	140
882	1048	138
883	1048	137
884	1049	136
885	1050	135
886	1051	133
887	1052	132
888	1053	131
889	1054	130
890	1054	129
891	1055	127
892	1056	126
893	1057	125
894	1058	124
895	1059	122
896	1060	121
897	1060	120
898	1061	119
899	1062	118
900	1063	116
901	1064	115
902	1065	114
903	1066	113
904	1067	112
905	1067	110
906	1068	109
907	1069	108
908	1070	107
909	1071	105
910	1072	104
911	1073	103
912	1074	102
913	1074	101
914	1075	99
915	1076	98
916	1077	97
917	1078	96
918	1079	95
919	1080	93
920	1080	92
921	1081	91
922	1082	90
923	1083	89
924	1084	87
925	1085	86
926	1086	85
927	1087	84
928	1088	83
929	1088	81
930	1089	80
931	1090	79
932	1091	78
933	1092	77
934	1093	76
935	1094	74
936	1095	73
937	1095	72
938	1096	71
939	1097	70
940	1098	68
941	1099	67
942	1100	66
943	1101	65
944	1101	64
945	1102	62
946	1103	61
947	1104	60
948	1106	59
949	1107	58
950	1108	57
951	1110	55
952	1111	54
953	1112	53
954	1114	52
955	1115	51
956	1117	50
957	1118	49
958	1119	47
959	1120	46
960	1121	45
961	1121	44
962	1122	43
963	1123	41
964	1124	40
965	1125	39
966	1126	38
967	1127	37
968	1128	36
969	1129	34
970	1130	33
971	1131	32
972	1131	31
973	1132	30
974	1133	29
975	1134	27
976	1135	26
977	1136	25
978	1137	24
979	1137	23
980	1138	22
981	1139	20
982	1140	19
983	1141	18
984	1142	17
985	1142	16
986	1143	15
987	1144	13
988	1145	12
989	1146	11
990	1147	10
991	1148	9
992	1149	8
993	1149	6
994	1150	5
995	1151	4
996	1152	3
997	1153	2
998	1154	1
999	1155	0
