iter	Logloss
0	0.6818752811
1	0.6702942669
2	0.6608258477
3	0.6513170614
4	0.6400468867
5	0.629116423
6	0.6200405325
7	0.6120591872
8	0.6043518296
9	0.5960970004
10	0.5881219502
11	0.5811547381
12	0.5718435784
13	0.5645215367
14	0.5568395086
15	0.5489161244
16	0.5407742331
17	0.5348693107
18	0.5285541306
19	0.5219487384
20	0.5160575958
21	0.5099059272
22	0.5046636077
23	0.5001235346
24	0.4942426321
25	0.4900093329
26	0.4844916647
27	0.4782349114
28	0.473890221
29	0.4682581769
30	0.4631187432
31	0.4582674083
32	0.4534969332
33	0.4488291524
34	0.4447184833
35	0.4405912711
36	0.4362927874
37	0.4323667492
38	0.4283280382
39	0.4240676597
40	0.4204043108
41	0.4168330361
42	0.4139353999
43	0.4110619039
44	0.4089538896
45	0.4064102475
46	0.4040655257
47	0.4004766954
48	0.3978526715
49	0.3950221693
50	0.3925109671
51	0.3900394132
52	0.3878318441
53	0.3859100795
54	0.383283286
55	0.3818544069
56	0.3798434937
57	0.3783056463
58	0.3760498591
59	0.3747212504
60	0.3725477444
61	0.3706975295
62	0.3688258078
63	0.3669168567
64	0.3658626792
65	0.3644567716
66	0.3626004395
67	0.3604650118
68	0.3587966519
69	0.3579082522
70	0.3562162029
71	0.3545355208
72	0.3537316375
73	0.3529532031
74	0.3513920865
75	0.3499745053
76	0.3487544099
77	0.3475506301
78	0.3464709947
79	0.345833415
80	0.345185281
81	0.3438277089
82	0.3427539094
83	0.3413697851
84	0.340674801
85	0.3392055292
86	0.3386891737
87	0.3376825226
88	0.336799722
89	0.3358334937
90	0.3348265156
91	0.3337472612
92	0.3329832411
93	0.3317560905
94	0.3303808376
95	0.3295000657
96	0.3284597148
97	0.327961144
98	0.3270366894
99	0.3261805902
100	0.3258592273
101	0.3250570357
102	0.3244828985
103	0.3236257144
104	0.3231495361
105	0.3224594034
106	0.321802849
107	0.3209395125
108	0.3201104468
109	0.3193322888
110	0.3190936033
111	0.3180733644
112	0.3174384792
113	0.3170881367
114	0.3159438115
115	0.3147754179
116	0.3142355961
117	0.3132786573
118	0.3130966386
119	0.3125697944
120	0.3115714214
121	0.3114078572
122	0.3112239916
123	0.3105002987
124	0.3099832144
125	0.3092302633
126	0.3086894801
127	0.308484048
128	0.3077484125
129	0.3069359026
130	0.3063053308
131	0.3061305825
132	0.3057974377
133	0.3050808333
134	0.3044928164
135	0.3042062122
136	0.3040030929
137	0.3035251935
138	0.3031900771
139	0.3026994954
140	0.3024773469
141	0.3019351922
142	0.3011918456
143	0.3004873709
144	0.3000593736
145	0.2994931668
146	0.2990532019
147	0.2986179839
148	0.2981697181
149	0.2978007607
150	0.2975779344
151	0.2973564993
152	0.296919478
153	0.2963799698
154	0.296018114
155	0.2957738817
156	0.295463193
157	0.2951934403
158	0.2945561929
159	0.2941048088
160	0.2939643212
161	0.2937086042
162	0.2935648188
163	0.2931364037
164	0.2925738975
165	0.292480382
166	0.2920026247
167	0.2915600696
168	0.2915190891
169	0.2912248966
170	0.2908757572
171	0.2906316373
172	0.2902518508
173	0.2898771932
174	0.2893667959
175	0.2890422281
176	0.2885942017
177	0.2884561754
178	0.288132752
179	0.287914486
180	0.2875204491
181	0.2873406713
182	0.2869107122
183	0.2867524189
184	0.2864224713
185	0.2861097398
186	0.2856454723
187	0.2855055448
188	0.2851038385
189	0.2850304642
190	0.2846735436
191	0.2843968569
192	0.2839788438
193	0.2839602642
194	0.2835610165
195	0.2831203027
196	0.2827983479
197	0.282466909
198	0.282278519
199	0.2821371677
200	0.2819541674
201	0.2815679453
202	0.2811618455
203	0.2809025565
204	0.2807287766
205	0.2806324023
206	0.2802891058
207	0.2800099507
208	0.279988609
209	0.2798039962
210	0.2795605599
211	0.2792289557
212	0.278910159
213	0.278540761
214	0.2785231753
215	0.2782414477
216	0.2779554359
217	0.2777577185
218	0.2775378224
219	0.2773356864
220	0.2771964335
